iteration,continuity,x-velocity,y-velocity,energy,k,omega
1,1.0397371322408986,0.9594893035015372,0.9395554476524546,0.9442959320883456,0.9960369683536527,0.8982257904269167
2,0.9832595885399575,0.9845012176962474,0.9915142987345577,0.9606761379287135,0.9352429190799595,0.9503360296833304
3,1.0397690669506785,0.9393801426292434,0.9886546822075839,0.9376536612081449,0.9703321203811723,0.903081785533217
4,1.1026256568657724,0.9613813048432762,1.0136349126945834,0.9493560140918688,1.0708631135144853,1.0043418208158155
5,0.9589203039360945,0.8622148011870021,0.8816913742992395,0.9578945587883393,1.132281486163141,1.1607072924289834
6,0.9534147029244388,0.9783971284810001,1.0090064320148322,1.0006902343219668,1.0441253683919591,0.8666958110514692
7,1.0880800732329183,0.9594501304525795,0.7804551433683267,0.9374735319728937,0.9846077302557329,1.1226362566087378
8,1.0194553101135964,0.9060631119812804,0.914442712811857,0.8701912552318736,1.142318429976933,0.858185553114397
9,0.9191038474109057,0.9836381334640363,0.9180906460609859,0.9909742601036142,0.9276294226679036,0.845153428039247
10,0.9906986612208327,0.9925558319696204,0.9864533898180355,0.8910779629017707,1.0780660387715302,1.0827802978667995
11,0.909035137632903,0.8432094328698284,0.9400992161328274,0.9198256538591438,0.9219596058444859,1.0933125677883977
12,0.9036411301816437,0.8843812416331439,0.8409184279679446,0.9355575264855502,0.9997473574382676,1.0787936359062922
13,0.9512864139694858,0.8779357606144964,0.8628925524395877,0.9168366957361703,0.9333165053470223,0.7647246572157353
14,0.785841836063059,0.8625238213284258,0.9337497418910926,0.9497512662200097,0.9355487869710715,0.8826157990526665
15,0.795230573955041,0.9529552839847822,0.9100607165375763,0.9146486648188751,0.8950743469545163,1.0617953790358243
16,0.875976271170538,0.8910400670194831,0.8724827161522389,0.8479221077824178,1.083827744364581,0.9471847138056633
17,0.8380751875560488,0.8811058120057271,0.873189853347709,0.9747099017593993,0.8472315190195071,0.7865385958688751
18,0.9295266132932914,0.7822449640310848,0.9416533021061981,0.880379178790421,0.8425262075264423,0.9979535030084155
19,0.8360359374284891,0.9166903731313301,0.8598938044419618,0.8585333862509729,1.1546738039202409,0.8302868604165896
20,0.7950739911756286,0.8117376857421228,0.8811250395478417,0.8993098367066956,1.0236865583489407,1.175590724913417
21,0.9956944582512804,0.8740351297863381,1.014811992804204,0.8616844165402057,0.6509509007154338,1.1363096043653538
22,0.8700771392085374,0.8792994368746267,0.7881860143971138,0.86108687996069,0.846201172666487,1.0020812327710147
