iteration,Cl,Cd,Cm
1,0.5268802486048725,0.1736430734180573,0.21908301968330118
2,0.5941287149087114,0.17241530071391534,0.2161905529674405
3,0.669242890695775,0.17241420052162837,0.21293499916780942
4,0.7403186683781604,0.17048707052426654,0.21083436700639485
5,0.8092709566376929,0.17011874402512678,0.20884780663890737
6,0.8766191691585135,0.16743593210864682,0.20729530238508462
7,0.9425348286197552,0.16645783418257973,0.20173391392385992
8,1.004197370737815,0.16465998487210434,0.1995385939419579
9,1.0642536421922197,0.16375673954823813,0.19470211407952218
10,1.122539739553232,0.16395761876872975,0.19122334812003974
11,1.1780244752973457,0.16160036814604078,0.1885033165578055
12,1.2341342401106428,0.16168525335546616,0.18342569732730415
13,1.2818963862804358,0.15897758443380267,0.17689826680882997
14,1.3327396086710221,0.15795553113116692,0.1728562726363987
15,1.3760829422636238,0.1572039197771776,0.16979161950106308
16,1.417067821743634,0.15624412289560252,0.1636079419909826
17,1.4584117129989425,0.155648120412917,0.1570785418569035
18,1.4917248820190425,0.1543315816723518,0.15200712015670736
19,1.5273510277298947,0.15282662429212612,0.14797242598417945
20,1.5562431392483063,0.15190560083033305,0.14255723761772096
21,1.5811829191005273,0.15075902165548877,0.13573254033263954
22,1.606780758975974,0.14941626502407754,0.1322068020764954
23,1.626938253307292,0.1483933210271976,0.12444442001864839
24,1.6450473540093193,0.14832355490741397,0.11714461350468917
25,1.6583177768708004,0.14587636945863167,0.1102263682112862
26,1.6677955642397229,0.14658842795143312,0.10361445450375274
27,1.6717762091287265,0.14460593570110544,0.09837246161272435
28,1.6829621473377268,0.14339718064732115,0.09090356686889052
29,1.6761386205098308,0.1431675656298624,0.08633616498437408
30,1.6786121861295231,0.14256272575278428,0.07932075524820345
31,1.6722779318196417,0.14140947771281412,0.07160864132118892
32,1.6607567759647108,0.14014017677937723,0.06285396971550788
33,1.6515951352266696,0.13947925022860616,0.0563615285782498
34,1.637541523084743,0.13713204967962658,0.05124070125667944
35,1.623356125620568,0.1367917097758208,0.04233080012396267
36,1.5996350505390218,0.13566714807224525,0.036889449698013325
37,1.5782112499825778,0.13581287742468134,0.029086940369370994
38,1.5491847375215226,0.134094296867247,0.021487606537636456
39,1.5299931559458917,0.13380180632470187,0.013542011882408861
40,1.494696132598426,0.13274762505731272,0.006951778330400649
41,1.4655572811127255,0.13115660056875636,3.581851179133388e-05
42,1.4306305208787382,0.13040973435281888,-0.0063154954154572346
43,1.394545166797719,0.1304729222675976,-0.015415731189117326
44,1.3583647396401544,0.12856835168862402,-0.021956017485952387
45,1.3203087075674582,0.12815582562374359,-0.028786403046287212
46,1.2760318583198782,0.12684657928591397,-0.03527506481695005
47,1.2338699818086414,0.12623243183782734,-0.043914986050723984
48,1.1888457649822828,0.12552492593336093,-0.0513480054377384
49,1.1445791720444636,0.1243221551651454,-0.05633250196321086
50,1.0948346248305214,0.12340587105307464,-0.0654436600518461
51,1.050121184465392,0.12320860443786583,-0.06949839909880542
52,1.0015290968292074,0.12182928244583087,-0.07772972950077978
53,0.9520731884830559,0.12103925937909528,-0.08583897331172936
54,0.8985848147033052,0.12017469617141502,-0.09141130165043813
55,0.8490968027038416,0.1198115453047718,-0.09710771571971842
56,0.7991059458209219,0.11953521360815833,-0.10448687106086875
57,0.7448768943558988,0.11903602278790916,-0.11030783642089886
58,0.6997296327323804,0.11714567311237724,-0.11586298445195
59,0.6454961470404047,0.1178160854854044,-0.1229772300609916
60,0.595257328481971,0.11547724652654162,-0.12977628207913045
61,0.5430180972975454,0.11576636015098327,-0.1350901786563509
62,0.49143837703470034,0.11411499022723753,-0.1392118409018669
63,0.4433622785348463,0.11329784302008726,-0.1446565047371183
64,0.39616290781284613,0.1126245548481126,-0.15395182760085102
65,0.3490159773870198,0.1122404482816467,-0.1563028518191373
66,0.3008387699356197,0.11183245764258981,-0.16247371870716218
67,0.25506338579098736,0.11115921493026484,-0.16699440363925516
68,0.2086625849099921,0.10964005781187662,-0.1735246162740132
69,0.16650686866571174,0.10891090067728773,-0.17965620866703136
70,0.12596351485121643,0.1082469525188253,-0.18207236874631
71,0.08328680241221993,0.10795494910851913,-0.1882190292524044
72,0.04385700755276225,0.10721666761200853,-0.1931371756204877
73,0.004748534271252124,0.10616349360842046,-0.19738527558624858
74,-0.035285818280116905,0.10609588849057351,-0.19962880317224335
75,-0.06910104368597501,0.1064204986820162,-0.20409582000968113
76,-0.09906121053853356,0.10437055985338452,-0.20729910500520796
77,-0.13111934262647656,0.1037453943814293,-0.21109773679391589
78,-0.15945715981648279,0.10358669729931459,-0.21571029752070617
79,-0.18428737783099008,0.10237761259871646,-0.21871823736043244
80,-0.21151219137464877,0.10234705009574789,-0.22235215421574553
81,-0.2337534293125338,0.10101419173774286,-0.22507742302938405
82,-0.2573395168802473,0.10165572187457213,-0.22869319347758274
83,-0.2783251754885187,0.10028350826592373,-0.23002596777987472
84,-0.29391157426234465,0.09917778409417308,-0.2318628840457695
85,-0.3103783021262157,0.09857529730157684,-0.23610674283130975
86,-0.31850319285747064,0.09799972072357405,-0.23619125233779967
87,-0.3307636765520395,0.0983350601764288,-0.23937151521550057
88,-0.3399028983877879,0.09641141965966928,-0.24108660922695765
89,-0.34495274586212454,0.09611393735757902,-0.24470007726764062
90,-0.355838424746864,0.09557415263268951,-0.24631150412719222
91,-0.35290558461219473,0.09525913415951665,-0.24569483368508102
92,-0.35691852821383585,0.09454829820781331,-0.24621567097752506
93,-0.35248584816821543,0.09335995323414963,-0.24867576086272158
94,-0.3492592770268594,0.09333216892924608,-0.2471667139463501
95,-0.3415037003044829,0.09291357725043287,-0.24876881919476598
96,-0.3346297660094406,0.09208529570004334,-0.25091477477465957
97,-0.3227677415170103,0.09218340492479418,-0.25031534405061945
98,-0.3151958588042593,0.09174503565205563,-0.24804758931803797
99,-0.2993235549802524,0.09069605551987768,-0.25178559343947476
100,-0.2854398689876751,0.09030500206948709,-0.24987520448975395
101,-0.2723910312285499,0.08856821277457674,-0.25043047372585514
102,-0.25271162173735506,0.08890168840622809,-0.24895089697422135
